,canon_smiles,anchors,canon_anchors,local_to_canon
959,[CH]1CS[CH]C[NH2+]1,"[[0], [1], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{0: 0, 5: 5, 4: 4, 3: 3, 2: 2, 1: 1}"
960,[C]1[CH][CH][NH2+][CH]C1,"[[0], [1], [2], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2]]","{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5}"
961,[CH]1CCOCC[NH+]1,"[[0], [1], [2], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 6], [6, 5], [6, 0], [0, 6]]","[[2], [3, 4], [5], [4, 3], [5, 4], [1, 0], [6, 5], [4], [1], [4, 5], [5, 6], [0, 1], [1, 2], [2, 1], [0], [3, 2], [0, 6], [2, 3], [6, 0]]","{5: 5, 6: 6, 0: 0, 1: 1, 2: 2, 3: 3, 4: 4}"
962,[C]1[CH]CNC=C1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{3: 3, 2: 2, 1: 1, 0: 0, 5: 5, 4: 4}"
963,[C]Br,[[0]],[[0]],"{0: 0, 1: 1}"
964,C1=NCC[N+]1,"[[0], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4, 0], [0, 4], [4], [2, 3], [1, 0], [0], [3, 2], [3]]","{1: 1, 0: 0, 4: 4, 3: 3, 2: 2}"
965,C1=CNC=[N+]C1,"[[0], [1], [2], [3], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{3: 3, 2: 2, 1: 1, 0: 0, 5: 5, 4: 4}"
966,[CH]1[CH][NH+]C1,"[[0], [1], [3], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 0], [0, 3]]","[[0, 1], [1, 2], [2, 1], [0, 3], [3, 0], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{3: 3, 0: 0, 1: 1, 2: 2}"
967,C1=[NH+]CCCC1,"[[0], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 0: 0}"
968,[C]1C=CCCN1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{5: 5, 0: 0, 1: 1, 2: 2, 3: 3, 4: 4}"
969,[C]1[C]C1,"[[0], [1], [2], [0, 1], [1, 0], [1, 2], [2, 1], [2, 0], [0, 2]]","[[0, 1], [1, 2], [2], [2, 1], [0]]","{2: 2, 0: 0, 1: 0}"
970,C1=CCN[P+]NC1,"[[0], [1], [2], [3], [4], [5], [6], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 6], [6, 5], [6, 0], [0, 6]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4], [2, 3], [0], [3, 2], [3]]","{4: 4, 5: 3, 6: 2, 0: 0, 1: 0, 2: 2, 3: 3}"
971,N[P+],"[[0], [1]]","[[0], [1]]","{0: 0, 1: 1}"
972,[CH]1[CH]SC1,"[[0], [1], [2], [3], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 0], [0, 3]]","[[0, 1], [2], [1, 2], [2, 1], [0, 3], [3, 0], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{3: 3, 2: 2, 1: 1, 0: 0}"
973,C1N=NN=N1,"[[0], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [2, 1], [2, 3], [1, 0], [0]]","{0: 0, 1: 1, 2: 2, 3: 2, 4: 1}"
974,[C]1CCN=N1,"[[0], [1], [2], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4, 0], [0, 4], [2, 3], [1], [1, 0], [0], [3, 2]]","{1: 1, 0: 0, 4: 4, 3: 3, 2: 2}"
975,C1=CCCNCC1,"[[0], [1], [2], [3], [4], [5], [6], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 6], [6, 5], [6, 0], [0, 6]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4], [2, 3], [0], [3, 2], [3]]","{2: 2, 1: 0, 0: 0, 6: 2, 5: 3, 4: 4, 3: 3}"
976,[CH]1C[CH][NH+][CH]C1,"[[0], [1], [2], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [2, 3], [1], [1, 0], [0], [3, 2]]","{1: 1, 0: 0, 5: 1, 4: 2, 3: 3, 2: 2}"
977,[CH]1C=CCC[NH2+]1,"[[0], [1], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{5: 5, 4: 4, 3: 3, 2: 2, 1: 1, 0: 0}"
978,[C]1CN[CH]CCN1,"[[0], [1], [2], [3], [4], [5], [6], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 6], [6, 5], [6, 0], [0, 6]]","[[2], [3, 4], [5], [4, 3], [5, 4], [1, 0], [6, 5], [4], [1], [4, 5], [5, 6], [0, 1], [1, 2], [2, 1], [0], [3, 2], [3], [6], [0, 6], [2, 3], [6, 0]]","{2: 2, 1: 1, 0: 0, 6: 6, 5: 5, 4: 4, 3: 3}"
979,C1=CNSN=C1,"[[0], [1], [2], [3], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{4: 4, 3: 3, 2: 2, 1: 1, 0: 0, 5: 5}"
980,C1=CC[NH2+]CCC1,"[[0], [1], [2], [4], [5], [6], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 6], [6, 5], [6, 0], [0, 6]]","[[2], [3, 4], [5], [4, 3], [5, 4], [1, 0], [6, 5], [4], [1], [4, 5], [5, 6], [0, 1], [1, 2], [2, 1], [0], [3, 2], [6], [0, 6], [2, 3], [6, 0]]","{2: 2, 1: 1, 0: 0, 6: 6, 5: 5, 4: 4, 3: 3}"
981,[C]1CC=C[CH]O1,"[[0], [1], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{4: 4, 5: 5, 0: 0, 1: 1, 2: 2, 3: 3}"
982,C1CCOC1,"[[0], [1], [2], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [2], [2, 1], [2, 3], [0], [3, 2]]","{0: 0, 1: 0, 2: 2, 3: 3, 4: 2}"
983,[CH]1CCCCCCCC=CC=CCO1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 6], [6, 5], [6, 7], [7, 6], [7, 8], [8, 7], [8, 9], [9, 8], [9, 10], [10, 9], [10, 11], [11, 10], [11, 12], [12, 11], [12, 13], [13, 12], [13, 0], [0, 13]]","[[2], [3, 4], [5], [11], [4, 3], [5, 4], [8], [12, 13], [8, 9], [9, 8], [1, 0], [10, 9], [6, 5], [4], [1], [7], [4, 5], [5, 6], [10], [0, 1], [9, 10], [1, 2], [10, 11], [2, 1], [11, 10], [0, 13], [6, 7], [7, 6], [0], [3, 2], [12, 11], [3], [9], [6], [12], [8, 7], [13, 0], [2, 3], [11, 12], [13, 12], [7, 8]]","{12: 12, 13: 13, 0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10, 11: 11}"
984,C1=NCN[N-]1,"[[0], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4, 0], [0, 4], [4], [2, 3], [1, 0], [0], [3, 2], [3]]","{4: 4, 3: 3, 2: 2, 1: 1, 0: 0}"
985,[C]1C[CH]OC1,"[[0], [1], [2], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4, 0], [0, 4], [4], [2, 3], [1], [1, 0], [0], [3, 2]]","{1: 1, 0: 0, 4: 4, 3: 3, 2: 2}"
986,[CH]1CNCN=N1,"[[0], [1], [2], [3], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [5, 4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{5: 5, 4: 4, 3: 3, 2: 2, 1: 1, 0: 0}"
987,[CH]1[CH]NC[CH]N1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{3: 3, 2: 2, 1: 1, 0: 0, 5: 5, 4: 4}"
988,[C]1CNCC[NH+]1,"[[0], [1], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{3: 3, 4: 4, 5: 5, 0: 0, 1: 1, 2: 2}"
989,[CH]1C[CH]NN1,"[[0], [1], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [3, 4], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{1: 1, 2: 0, 3: 3, 4: 3, 0: 0}"
990,C1=[N+]CCCC1,"[[0], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{5: 5, 4: 4, 3: 3, 2: 2, 1: 1, 0: 0}"
991,[CH]1CNC1,"[[0], [1], [2], [3], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 0], [0, 3]]","[[0, 1], [2], [1, 2], [2, 1], [1], [1, 0], [0]]","{0: 0, 1: 1, 2: 2, 3: 1}"
992,[CH]1C=CSC=CC1,"[[0], [1], [2], [3], [4], [5], [6], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 6], [6, 5], [6, 0], [0, 6]]","[[2], [3, 4], [5], [4, 3], [5, 4], [1, 0], [6, 5], [4], [1], [4, 5], [5, 6], [0, 1], [1, 2], [2, 1], [0], [3, 2], [3], [6], [0, 6], [2, 3], [6, 0]]","{6: 6, 0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5}"
993,[C]1[CH][NH+]CC1,"[[0], [1], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [4, 0], [2, 1], [3, 4], [4, 3], [0, 4], [4], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{3: 3, 2: 2, 1: 1, 0: 0, 4: 4}"
994,[C]1[CH]NC=C1,"[[0], [1], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4, 0], [0, 4], [4], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{2: 2, 3: 3, 4: 4, 0: 0, 1: 1}"
995,[CH]1[CH]SCS1,"[[0], [1], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [2], [2, 1], [2, 3], [0], [3, 2], [3]]","{3: 3, 4: 2, 0: 0, 1: 0, 2: 2}"
996,C1=COC=CC1,"[[0], [1], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [1, 2], [2, 1], [5], [5, 4], [1], [1, 0], [4, 5], [0]]","{5: 5, 0: 0, 1: 1, 2: 2, 3: 1, 4: 0}"
997,[CH]1CC[CH][S+]1,"[[0], [1], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [3, 4], [4, 3], [4], [1], [1, 0], [0]]","{0: 0, 1: 1, 2: 1, 3: 0, 4: 4}"
998,C[S+],"[[0], [1]]","[[0], [1]]","{1: 1, 0: 0}"
999,[C]1CC[C]N1,"[[0], [1], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [3, 4], [4, 3], [4], [1], [1, 0], [0]]","{1: 1, 0: 0, 4: 4, 3: 0, 2: 1}"
1000,[C]1NCCCN1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{1: 1, 2: 2, 3: 3, 4: 2, 5: 1, 0: 0}"
1001,[C]1[C]NC=C1,"[[0], [1], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4, 0], [0, 4], [4], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{0: 0, 1: 1, 2: 2, 3: 3, 4: 4}"
1002,[CH]1C[CH][NH2+]C1,"[[0], [1], [2], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4, 0], [0, 4], [4], [2, 3], [1], [1, 0], [0], [3, 2]]","{1: 1, 2: 2, 3: 3, 4: 4, 0: 0}"
1003,[CH]1C=C[CH]O1,"[[0], [1], [2], [3], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [3, 4], [4, 3], [1], [1, 0], [0]]","{1: 1, 0: 0, 4: 4, 3: 0, 2: 1}"
1004,[CH]1[CH]CCCCCCCC1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 6], [6, 5], [6, 7], [7, 6], [7, 8], [8, 7], [8, 9], [9, 8], [9, 0], [0, 9]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [4, 5], [5, 6], [0], [3, 2], [3]]","{2: 2, 1: 0, 0: 0, 9: 2, 8: 3, 7: 4, 6: 5, 5: 5, 4: 4, 3: 3}"
1005,[C]1CCC[N+]C1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5}"
1006,[CH]1C[CH]ON1,"[[0], [1], [2], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4, 0], [0, 4], [4], [2, 3], [1], [1, 0], [0], [3, 2]]","{1: 1, 2: 2, 3: 3, 4: 4, 0: 0}"
1007,C1=C=[NH+]C[CH][NH+]=1,"[[3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [1, 2], [2, 1], [3, 4], [4, 3], [5, 4], [4], [2, 3], [4, 5], [5, 0], [0, 5], [1, 0], [3, 2], [3]]","{5: 5, 0: 0, 1: 1, 2: 2, 3: 3, 4: 4}"
1008,[CH]1C=CNC=CS1,"[[0], [1], [2], [3], [4], [5], [6], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 6], [6, 5], [6, 0], [0, 6]]","[[2], [3, 4], [5], [4, 3], [5, 4], [1, 0], [6, 5], [4], [1], [4, 5], [5, 6], [0, 1], [1, 2], [2, 1], [0], [3, 2], [3], [6], [0, 6], [2, 3], [6, 0]]","{3: 3, 2: 2, 1: 1, 0: 0, 6: 6, 5: 5, 4: 4}"
1009,[CH]1N[CH]NN1,"[[0], [1], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [3, 4], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{3: 3, 2: 0, 1: 1, 0: 0, 4: 3}"
1010,[C]1[CH]C[C]C1,"[[0], [1], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4, 0], [0, 4], [4], [2, 3], [1], [1, 0], [0], [3, 2], [3]]","{2: 2, 3: 3, 4: 4, 0: 0, 1: 1}"
1011,[CH]1NCCN1,"[[0], [1], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [2], [1, 2], [2, 1], [2, 3], [1], [1, 0], [0]]","{2: 2, 1: 1, 0: 0, 4: 1, 3: 2}"
1012,[CH]1C[CH]SCCN1,"[[0], [1], [2], [3], [4], [5], [6], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 6], [6, 5], [6, 0], [0, 6]]","[[2], [3, 4], [5], [4, 3], [5, 4], [1, 0], [6, 5], [4], [1], [4, 5], [5, 6], [0, 1], [1, 2], [2, 1], [0], [3, 2], [3], [6], [0, 6], [2, 3], [6, 0]]","{6: 6, 0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5}"
1013,[NH+]S,"[[0], [1]]","[[0], [1]]","{0: 0, 1: 1}"
1014,[CH]1[CH]OCOC1,"[[0], [1], [3], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [1, 2], [2, 1], [3, 4], [5], [4, 3], [5, 4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{5: 5, 4: 4, 3: 3, 2: 2, 1: 1, 0: 0}"
1015,[CH]1C=CCN=[NH+]1,"[[0], [1], [2], [3], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [5, 4], [2, 3], [1], [1, 0], [4, 5], [5, 0], [0, 5], [0], [3, 2], [3]]","{5: 5, 4: 4, 3: 3, 2: 2, 1: 1, 0: 0}"
1016,[CH]1CNC[CH][NH2+]1,"[[0], [1], [2], [3], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [2], [1, 2], [2, 1], [5, 4], [1], [1, 0], [4, 5], [0]]","{1: 1, 0: 0, 5: 5, 4: 0, 3: 1, 2: 2}"
1017,[CH]1NN[CH]O1,"[[0], [1], [2], [3], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [3, 4], [4, 3], [1], [1, 0], [0]]","{1: 1, 0: 0, 4: 4, 3: 0, 2: 1}"
1018,C1NN=NN1,"[[0], [1], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [1, 2], [2, 1], [2, 3], [1], [1, 0], [0]]","{1: 1, 0: 0, 4: 1, 3: 2, 2: 2}"
1019,[CH]1[CH]NC=CNC1,"[[0], [1], [2], [3], [4], [5], [6], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 6], [6, 5], [6, 0], [0, 6]]","[[2], [3, 4], [5], [4, 3], [5, 4], [1, 0], [6, 5], [4], [1], [4, 5], [5, 6], [0, 1], [1, 2], [2, 1], [0], [3, 2], [3], [6], [0, 6], [2, 3], [6, 0]]","{2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 0: 0, 1: 1}"
1020,[CH]1CCCCC[NH+]1,"[[0], [1], [2], [3], [4], [5], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 6], [6, 5], [6, 0], [0, 6]]","[[2], [3, 4], [5], [4, 3], [5, 4], [1, 0], [6, 5], [4], [1], [4, 5], [5, 6], [0, 1], [1, 2], [2, 1], [0], [3, 2], [3], [0, 6], [2, 3], [6, 0]]","{5: 5, 6: 6, 0: 0, 1: 1, 2: 2, 3: 3, 4: 4}"
1021,[C]1[CH]NCC=CC1,"[[0], [1], [2], [3], [4], [5], [6], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 6], [6, 5], [6, 0], [0, 6]]","[[2], [3, 4], [5], [4, 3], [5, 4], [1, 0], [6, 5], [4], [1], [4, 5], [5, 6], [0, 1], [1, 2], [2, 1], [0], [3, 2], [3], [6], [0, 6], [2, 3], [6, 0]]","{2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 0: 0, 1: 1}"
1022,C1=C=[NH+]C=NNC=1,"[[3], [5], [6], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 6], [6, 5], [6, 0], [0, 6]]","[[6], [0, 1], [1, 2], [2, 1], [3, 4], [5], [4, 3], [6, 5], [5, 4], [0, 6], [2, 3], [4, 5], [5, 6], [6, 0], [1, 0], [3, 2], [3]]","{5: 5, 6: 6, 0: 0, 1: 1, 2: 2, 3: 3, 4: 4}"
1023,c1nc[nH+]cn1,"[[0], [2], [4], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 5], [5, 4], [5, 0], [0, 5]]","[[0, 1], [1, 2], [2], [2, 1], [2, 3], [1, 0], [0], [3, 2]]","{1: 1, 2: 2, 3: 3, 4: 2, 5: 1, 0: 0}"
1024,C1NN1,"[[0], [1], [2], [0, 1], [1, 0], [1, 2], [2, 1], [2, 0], [0, 2]]","[[0, 1], [1, 2], [1], [1, 0], [0]]","{0: 0, 1: 1, 2: 1}"
1025,C1=NCC=[NH+]1,"[[0], [2], [3], [0, 1], [1, 0], [1, 2], [2, 1], [2, 3], [3, 2], [3, 4], [4, 3], [4, 0], [0, 4]]","[[0, 1], [2], [1, 2], [2, 1], [3, 4], [4, 3], [4, 0], [0, 4], [2, 3], [1, 0], [0], [3, 2], [3]]","{1: 1, 0: 0, 4: 4, 3: 3, 2: 2}"
